wavenumber,Aavg
7.391260874,-0.016528471
7.391627504,-0.033309366
7.391994134,0.008403302
7.392360764,-0.026357182
7.392727394,-0.002200902
7.393094024,-0.01722955
7.393460654,0.016928725
7.393827284,0.008389256
7.394193914,0.010479156
7.394560544,0.01745123
7.394927174,0.014596825
7.395293804,0.032097851
7.395660434,0.021024775
7.396027064,0.033127657
7.396393694,-0.012644186
7.396760324,-0.005186805
7.397126954,-0.037771106
7.397493584,-0.012086937
7.397860214,-0.025503173
7.398226844,-0.016017772
7.398593474,-0.02715164
7.398960104,-0.02176068
7.399326734,-0.010750903
7.399693364,-0.006653971
7.400059994,0.016455382
7.400426624,0.006311539
7.400793254,0.04169776
7.401159884,0.014456202
7.401526514,0.048035696
7.401893144,0.021338791
7.402259774,0.030760968
7.402626404,-0.004226875
7.402993034,0.009289929
7.403359664,-0.024022716
7.403726294,-0.008642041
7.404092924,-0.022497966
7.404459554,-0.031793093
7.404826184,-0.034238327
7.405192814,-0.061746524
7.405559444,-0.035195319
7.405926074,-0.040602401
7.406292704,0.002121759
7.406659334,0.004616485
7.407025964,0.039178134
7.407392594,0.026606315
7.407759224,0.061379966
7.408125854,0.051286236
7.408492484,0.067562555
7.408859114,0.048514984
7.409225744,0.011902558
7.409592374,-0.002166595
7.409959004,-0.039058908
7.410325634,-0.034996172
7.410692264,-0.044615356
7.411058894,-0.017816179
7.411425524,-0.049483594
7.411792154,-0.032718948
7.412158784,-0.037294426
7.412525414,-0.015247057
7.412892044,-0.012363976
7.413258674,0.019487249
7.413625304,0.038733209
7.413991934,0.038720701
7.414358564,0.049716865
7.414725194,0.045433618
7.415091824,0.059067724
7.415458454,0.020820654
7.415825084,0.004805642
7.416191714,-0.053415648
7.416558344,-0.024993207
7.416924974,-0.046214557
7.417291604,-0.020892996
7.417658234,-0.034729976
7.418024864,-0.027252841
7.418391494,-0.037344641
7.418758124,-0.03198093
7.419124754,-0.019118902
7.419491384,-0.004628539
7.419858014,0.032841932
7.420224644,0.014146851
7.420591274,0.051507156
7.420957904,0.034478028
7.421324534,0.054649001
7.421691164,0.019463327
7.422057794,0.031822799
7.422424424,-0.00337473
7.422791054,-0.002356303
7.423157684,-0.017085868
7.423524314,-0.012454733
7.423890944,-0.025603129
7.424257574,-0.033052562
7.424624204,-0.023329009
7.424990834,-0.033089357
7.425357464,0.001691993
7.425724094,-0.015781438
7.426090724,0.015312326
7.426457354,-0.001424746
7.426823984,0.03549386
7.427190614,0.029513673
7.427557244,0.029923387
7.427923874,0.028274155
7.428290504,0.011840021
7.428657134,0.002264598
7.429023764,-0.024616685
7.429390394,-0.018278953
7.429757024,-0.040054216
7.430123654,-0.007433661
7.430490284,-0.020355571
7.430856914,0.004700054
7.431223544,-0.02337457
7.431590174,0.011875419
7.431956804,-0.004964272
7.432323434,0.010080721
7.432690064,0.000764267
7.433056694,0.00695419
7.433423324,0.015192748
7.433789954,0.014032094
7.434156584,0.028077339
7.434523214,-0.00479906
7.434889844,0.012488621
7.435256474,-0.016150335
7.435623104,-0.006459091
7.435989734,-0.034694744
7.436356364,-0.020205321
7.436722994,-0.031427836
7.437089624,-0.015269488
7.437456254,-0.029826244
7.437822884,-0.010349849
7.438189514,0.013663988
7.438556144,0.019335861
7.438922774,0.037536023
7.439289404,0.035299802
7.439656034,0.052439986
7.440022664,0.02561466
7.440389294,0.033642815
7.440755924,0.016948688
7.441122554,0.023423287
7.441489184,-0.005871362
7.441855814,0.005607395
7.442222444,-0.002799808
7.442589074,-0.015626754
7.442955704,-0.017560183
7.443322334,-0.039007848
7.443688964,-0.015208714
7.444055594,-0.033840082
7.444422224,-0.003191031
7.444788854,-0.008465834
7.445155484,0.026463305
7.445522114,0.018574827
7.445888744,0.055215137
7.446255374,0.037969466
7.446622004,0.034993389
7.446988634,0.004105817
7.447355264,-0.002567705
7.447721894,-0.010469663
7.448088524,-0.023176459
7.448455154,-0.030601176
7.448821784,-0.041322814
7.449188414,-0.0110604
7.449555044,-0.028509362
7.449921674,0.002122783
7.450288305,-0.015863698
7.450654935,-0.003258186
7.451021565,-0.01990434
7.451388195,0.010981321
7.451754825,0.021624915
7.452121455,0.041522215
7.452488085,0.038283316
7.452854715,0.021595405
7.453221345,0.021584758
7.453587975,-0.016234414
7.453954605,-0.007589314
7.454321235,-0.048573618
7.454687865,-0.040378002
7.455054495,-0.066301771
7.455421125,-0.027518049
7.455787755,-0.03594036
7.456154385,-0.013471102
7.456521015,-0.030619927
7.456887645,-0.029744353
7.457254275,-0.019452959
7.457620905,-0.005111779
7.457987535,0.030557216
7.458354165,0.033721758
7.458720795,0.061843246
7.459087425,0.027875205
7.459454055,0.042181516
7.459820685,-0.00397255
7.460187315,0.009692618
7.460553945,-0.026727997
7.460920575,-0.017058433
7.461287205,-0.036860648
7.461653835,-0.023648192
7.462020465,-0.026020673
7.462387095,-0.019543588
7.462753725,-0.00938423
7.463120355,-0.017721097
7.463486985,-0.000526622
7.463853615,-0.015861156
7.464220245,0.019810925
7.464586875,0.01158663
7.464953505,0.042287065
7.465320135,0.029158435
7.465686765,0.041943119
7.466053395,0.020587747
7.466420025,0.024265874
7.466786655,0.011966722
7.467153285,-0.002001377
7.467519915,-0.001571948
7.467886545,-0.033138142
7.468253175,-0.010494659
7.468619805,-0.023834958
7.468986435,0.003965506
7.469353065,-0.009485832
7.469719695,0.006883461
7.470086325,-0.006807341
7.470452955,0.012747103
7.470819585,0.022764178
7.471186215,0.034392222
7.471552845,0.028605138
7.471919475,0.031219613
7.472286105,0.035390726
7.472652735,0.001730294
7.473019365,0.018498157
7.473385995,-0.016407028
7.473752625,0.007688243
7.474119255,-0.023374124
