wavenumer,Aavg
7.406659334,-0.026874093
7.407025964,0.049031776
7.407392594,0.003912603
7.407759224,0.090469538
7.408125854,0.049384654
7.408492484,0.097761722
7.408859114,0.035248234
7.409225744,0.026269425
7.409592374,-0.005623609
7.409959004,-0.026511159
7.410325634,-0.026716097
7.410692264,-0.055203815
7.411058894,-0.009477334
7.411425524,-0.069473767
7.411792154,-0.016890201
7.412158784,-0.065350833
7.412525414,0.006428859
7.412892044,-0.0328266
7.413258674,0.041050225
7.413625304,0.029906499
7.413991934,0.071323934
7.414358564,0.054583135
7.414725194,0.059133843
7.415091824,0.078112801
7.415458454,0.027532393
7.415825084,0.026663704
7.416191714,-0.057516485
7.416558344,-0.001953076
7.416924974,-0.075945139
7.417291604,-0.007316771
7.417658234,-0.065075905
7.418024864,-0.000764267
7.418391494,-0.057453943
7.418758124,-0.024189787
7.419124754,-0.017347342
7.419491384,0.016283901
7.419858014,0.038930778
7.420224644,0.01872358
7.420591274,0.07533408
7.420957904,0.03663595
7.421324534,0.080948105
7.421691164,0.00698474
7.422057794,0.061287492
7.422424424,-0.026355342
7.422791054,0.012624067
7.423157684,-0.036124907
7.423524314,-0.000513551
7.423890944,-0.041046858
7.424257574,-0.029913937
7.424624204,-0.017174279
7.424990834,-0.033365956
7.425357464,0.012380799
7.425724094,-0.027845269
7.426090724,0.044331669
7.426457354,-0.013783355
7.426823984,0.053430961
7.427190614,0.004858999
7.427557244,0.057953145
7.427923874,0.012536645
7.428290504,0.029448845
7.428657134,-0.010180045
7.429023764,-0.019521412
7.429390394,-0.017469041
7.429757024,-0.039287754
7.430123654,0.007984386
7.430490284,-0.03484439
7.430856914,0.029212361
7.431223544,-0.040029445
7.431590174,0.037264051
7.431956804,-0.020433895
7.432323434,0.053149719
7.432690064,0.011432394
7.433056694,0.039677388
7.433423324,0.016558924
7.433789954,0.037409193
7.434156584,0.045432905
7.434523214,0.001277254
7.434889844,0.011773925
7.435256474,-0.044115083
7.435623104,0.005139026
7.435989734,-0.060801498
7.436356364,-0.002345343
7.436722994,-0.070938368
7.437089624,-0.002462181
7.437456254,-0.052717228
7.437822884,0.007528505
7.438189514,0.011234196
7.438556144,0.042725187
7.438922774,0.044983714
7.439289404,0.036106615
7.439656034,0.06915215
7.440022664,0.020097489
7.440389294,0.051703672
7.440755924,-0.014893912
7.441122554,0.044714881
7.441489184,-0.027813536
7.441855814,0.010948795
7.442222444,-0.036959061
7.442589074,0.000466112
7.442955704,-0.028820182
7.443322334,-0.035571984
7.443688964,-0.024687067
7.444055594,-0.042371575
7.444422224,0.00937989
7.444788854,-0.013905766
7.445155484,0.063756965
7.445522114,0.013370688
