wavenumbers,Aavg
7.33865,-0.027250591
7.338686667,0.019898803
7.338723333,0.006117167
7.33876,-0.020270369
7.338796667,0.051502779
7.338833333,-0.053693653
7.33887,0.073619619
7.338906667,-0.066013847
7.338943333,0.075760647
7.33898,-0.058816137
7.339016667,0.054986534
7.339053333,-0.021494585
7.33909,0.019523979
7.339126667,0.012092839
7.339163333,-0.020563218
7.3392,0.057057086
7.339236667,-0.053698978
7.339273333,0.076445911
7.33931,-0.063670523
7.339346667,0.075478603
7.339383333,-0.055942059
7.33942,0.052846018
7.339456667,-0.017960885
7.339493333,0.014800308
7.33953,0.014542254
7.339566667,-0.025441341
7.339603333,0.057945905
7.33964,-0.056828941
7.339676667,0.077518607
7.339713333,-0.063721512
7.33975,0.074604899
7.339786667,-0.053859866
7.339823333,0.051665756
7.33986,-0.014219558
7.339896667,0.012464599
7.339933333,0.020275389
7.33997,-0.028396304
7.340006667,0.060642954
7.340043333,-0.060742668
7.34008,0.074970317
7.340116667,-0.067433329
7.340153333,0.069177716
7.34019,-0.055649332
7.340226667,0.043042349
7.340263333,-0.016267549
7.3403,0.003310148
7.340336667,0.0181952
7.340373333,-0.034810817
7.34041,0.059324497
7.340446667,-0.063850984
7.340483333,0.075575419
7.34052,-0.065896475
7.340556667,0.068706757
7.340593333,-0.052450922
7.34063,0.041993413
7.340666667,-0.010104878
7.340703333,-0.000199486
7.34074,0.025626218
7.340776667,-0.03886169
7.340813333,0.063754612
7.34085,-0.064334313
7.340886667,0.076543683
7.340923333,-0.065060135
7.34096,0.06632086
7.340996667,-0.049558075
7.341033333,0.037088084
7.34107,-0.007184018
7.341106667,-0.004320646
7.341143333,0.029040785
7.34118,-0.042704484
7.341216667,0.066541151
7.341253333,-0.066355034
7.34129,0.077499359
7.341326667,-0.064792821
7.341363333,0.065408676
7.3414,-0.048766179
7.341436667,0.034661731
7.341473333,-0.004355422
7.34151,-0.007251945
7.341546667,0.032087295
7.341583333,-0.04550852
7.34162,0.06753106
7.341656667,-0.069970302
7.341693333,0.076023611
7.34173,-0.066131457
7.341766667,0.062733493
7.341803333,-0.047338198
7.34184,0.030571488
7.341876667,-0.001886592
7.341913333,-0.013184563
7.34195,0.032577774
7.341986667,-0.051777012
7.342023333,0.066676699
7.34206,-0.073742183
7.342096667,0.074048707
7.342133333,-0.067942561
7.34217,0.057523047
7.342206667,-0.049298813
7.342243333,0.022347001
7.34228,-0.003559217
7.342316667,-0.01997426
7.342353333,0.031268473
7.34239,-0.05780559
7.342426667,0.064329788
